Сегмент,Компания,Имя,Должность,Email,Телефон,Сайт,LinkedIn,Telegram,Страна,Город,Отрасль,Источник,URL источника,Приоритет,Комментарий
communications,Avmmedia,,,pr@avmmedia.ru,+7 (495) 280-45-46,https://avmmedia.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://avmmedia.ru/kontakty/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,BC Agency,,,info@bcagency.ru,,https://bcagency.ru/,,,Россия,Москва,Corporate Communications,Член АКАР,https://bcagency.ru/,A,Бренд-коммуникации: возможна потребность в презентациях для клиентов и внутренних коммуникаций. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Bbdo Group,,,anna.semchenkova@contrapunto.ru,+7 (495) 787 57 80,https://bbdo-group.ru/about/agency/contrapunto/,,https://t.me/+j5GiVodojkxmMmIy; https://t.me/bbdo_twtw,Россия,Москва,PR / Communications,Член АКАР,https://bbdo-group.ru/about/agency/contrapunto/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Be All Bright,,,info@beallbright.com,+7 (499) 430-01-86,https://beallbright.com/,,https://t.me/beallbrightgroup,Россия,Москва,PR / Communications,Член АКАР,https://beallbright.com/,A,"Интегрированные коммуникации: релевантно для презентаций, pitch materials и визуальной упаковки. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Beetl,,,info@beetl.ru,+7 (499) 113-28-88; +7 (495) 623-49-13; +7 (495) 623-87-60,https://www.beetl.ru/,,https://t.me/beetl_news,Россия,Москва,PR / Communications,Член АКАР,https://www.beetl.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Blackline PR&Digital,,,hello@blackline-pr.com,+7 (916) 503-21-81,http://www.blackline-pr.ru/,,https://t.me/+79165032181,Россия,,Corporate Communications,Рейтинг Рунета communications,https://blackline-pr.ru/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,CROS Marketing,,,info@cros.ru,,https://www.cros.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://www.cros.ru/ru/,A,Креативные маркетинговые коммуникации: вероятна потребность в презентационных материалах. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,agency@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,kremer@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,mikheikina@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,miller@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,saviniukhova@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,DPG Russia,,,shvedova@dpgrussia.com,+7 (495) 181-74-45,https://dpgrussia.com/,,https://t.me/s/dpg_online,Россия,Москва,PR / Communications,Член АКАР,https://dpgrussia.com/,A,Креативное коммуникационное агентство: релевантно для презентаций и клиентских материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Elikon Design,,,info@elikon-design.ru,+7 (495) 822-5540,http://elikon-design.ru/,,,Россия,Москва,PR / Communications,Член АКАР,http://elikon-design.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Friends Moscow,,,brief@friends.moscow,+7 999 813-38-05,https://friends.moscow/,,https://t.me/friiendsdigital,Россия,Москва,PR / Communications,Член АКАР,https://friends.moscow/,A,Коммуникационное и брендинговое агентство: вероятна потребность в презентациях и упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Friends Moscow,,,hello@friends.moscow,+7 999 813-38-05,https://friends.moscow/,,https://t.me/friiendsdigital,Россия,Москва,PR / Communications,Член АКАР,https://friends.moscow/,A,Коммуникационное и брендинговое агентство: вероятна потребность в презентациях и упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Friends Moscow,,,work@friends.moscow,+7 999 813-38-05,https://friends.moscow/,,https://t.me/friiendsdigital,Россия,Москва,PR / Communications,Член АКАР,https://friends.moscow/,A,Коммуникационное и брендинговое агентство: вероятна потребность в презентациях и упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Group4Media,,,pr@group4media.ru,+7 (495) 927-64-16,https://group4media.ru/,,https://t.me/Group4Media_news,Россия,Москва,PR / Communications,Член АКАР,https://group4media.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,HEADSHOT,,,smmheadshot@mail.ru,+7 (967) 655-74-04,http://smmheadshot.ru/,,https://t.me/agent00m,Россия,,Corporate Communications,Рейтинг Рунета communications,https://smmheadshot.ru/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Initiative,,,info@initiativemedia.ru,+7 (495) 775-36-01,https://www.initiative.ru/,,https://t.me/IPGMediabrands,Россия,Москва,PR / Communications,Член АКАР,https://www.initiative.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Initiative,,,newbusiness@initiativemedia.ru,+7 (495) 775-36-01,https://www.initiative.ru/,,https://t.me/IPGMediabrands,Россия,Москва,PR / Communications,Член АКАР,https://www.initiative.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Interium,,,info@interium.pro,+7 (495) 660-81-76,http://interium.pro/,,https://t.me/interiumoverheard,Россия,Москва,Corporate Communications,Сайт агентства,https://interium.pro/,A,"PR/corporate communications: возможна потребность в презентациях для клиентов, спикеров, пресс-ивентов, форумов и коммуникационных стратегий. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Kitchen Consulting,,,we.are@kitchen.consulting,+7 903 297 75 11,https://www.kitchen.consulting/,,https://t.me/kitchentalks,Россия,Москва,PR / Communications,Член АКАР,https://www.kitchen.consulting/,A,"Креативные концепции, PR и ивенты: вероятна потребность в pitch materials. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,LBL,,,info@lbl.ru,+7 (495) 789-45-42; +7 (495) 789-45-43,https://lbl.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://lbl.ru/contacts/,A,Независимая коммуникационная группа: релевантно для презентаций и визуальной упаковки идей. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,LBL,,,tender@lbl.ru,+7 (495) 789-45-42; +7 (495) 789-45-43,https://lbl.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://lbl.ru/contacts/,A,Независимая коммуникационная группа: релевантно для презентаций и визуальной упаковки идей. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,M,,,info@proximity.ru,7 (495) 787-57-84,https://m.bbdo-group.ru/about/agency/proximity/,,https://t.me/bbdo_twtw,Россия,Москва,PR / Communications,Член АКАР,https://m.bbdo-group.ru/about/agency/proximity/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,MYGRIBS,,,partner@mygribs.ru,+7 (812) 612-01-80,https://mygribs.com/,,https://t.me/mygribsru; https://t.me/mygribs1,Россия,,Corporate Communications,Рейтинг Рунета communications,https://mygribs.com/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mediadirectiongroup,,,hr@mediadirectiongroup.ru,,https://mediadirectiongroup.ru/agency/omd-media-direction/,,,Россия,Москва,PR / Communications,Член АКАР,https://mediadirectiongroup.ru/agency/omd-media-direction/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mediadirectiongroup,,,igor.kosmarskiy@mediadirectiongroup.ru,,https://mediadirectiongroup.ru/agency/omd-media-direction/,,,Россия,Москва,PR / Communications,Член АКАР,https://mediadirectiongroup.ru/agency/omd-media-direction/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mediadirectiongroup,,,pr@mediadirectiongroup.ru,,https://mediadirectiongroup.ru/agency/omd-media-direction/,,,Россия,Москва,PR / Communications,Член АКАР,https://mediadirectiongroup.ru/agency/omd-media-direction/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Medialinkrussia,,,medialink@medialinkrussia.ru,+7 (812) 320 44 55,https://medialinkrussia.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://medialinkrussia.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mera Agency,,,maria.silkina@mera-agency.ru,+7 (495) 995-93-13,https://mera-agency.ru/,,https://t.me/addlist/oZxEG8dDzlFmMjMy,Россия,Москва,PR / Communications,Член АКАР,https://okkam.group/mera/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mosaicmedia,,,hr@mosaicmedia.ru,,https://mosaicmedia.ru/,,https://t.me/mosaicrussia,Россия,Москва,PR / Communications,Член АКАР,https://mosaicmedia.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Mosaicmedia,,,welcome@mosaicmedia.ru,,https://mosaicmedia.ru/,,https://t.me/mosaicrussia,Россия,Москва,PR / Communications,Член АКАР,https://mosaicmedia.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Motivegroup,,,info@motivegroup.ru,+7 495 649 90 54,https://motivegroup.ru/,,https://t.me/motive_group,Россия,Москва,PR / Communications,Член АКАР,https://motivegroup.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Movie Group,,,hr@movie360.ru,+7 (495) 127 7224,https://movie-group.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://movie-group.ru/contacts,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Movie Group,,,info@movie360.ru,+7 (495) 127 7224,https://movie-group.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://movie-group.ru/contacts,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Movie Group,,,pr@movie360.ru,+7 (495) 127 7224,https://movie-group.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://movie-group.ru/contacts,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Movie Group,,,welcome@movie360.ru,+7 (495) 127 7224,https://movie-group.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://movie-group.ru/contacts,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Newsmedia,,,advertising@newsmedia.ru,+7 (495) 663 38 18; +7 (495) 663 38 17; +7 (925) 062 28 99,https://newsmedia.ru/,,https://t.me/newsmediaholding,Россия,Москва,PR / Communications,Член АКАР,https://newsmedia.ru/contacts.html,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Newsmedia,,,hr@newsmedia.ru,+7 (495) 663 38 18; +7 (495) 663 38 17; +7 (925) 062 28 99,https://newsmedia.ru/,,https://t.me/newsmediaholding,Россия,Москва,PR / Communications,Член АКАР,https://newsmedia.ru/contacts.html,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Newsmedia,,,law@newsmedia.ru,+7 (495) 663 38 18; +7 (495) 663 38 17; +7 (925) 062 28 99,https://newsmedia.ru/,,https://t.me/newsmediaholding,Россия,Москва,PR / Communications,Член АКАР,https://newsmedia.ru/contacts.html,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Newsmedia,,,studio@newsmedia.ru,+7 (495) 663 38 18; +7 (495) 663 38 17; +7 (925) 062 28 99,https://newsmedia.ru/,,https://t.me/newsmediaholding,Россия,Москва,PR / Communications,Член АКАР,https://newsmedia.ru/contacts.html,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Omd,,,newbiz@group.omd.ru,+7 (495) 234-43-97,https://www.omd.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://www.omd.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,One Touch,,,one@one-touch.ru,+7 (499) 577-00-64,https://one-touch.ru/,,https://telegram.me/agencyonetouch,Россия,Москва,PR / Communications,Член АКАР,https://one-touch.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Oom Agency,,,ekaterina.fisher@okkam.ru,,https://www.oom-agency.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://www.oom-agency.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Ortacommunications,,,info@ortacommunications.com,,http://ortacommunications.com/,,,Россия,Москва,PR / Communications,Член АКАР,http://ortacommunications.com/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Ortacommunications,,,td@ortacommunications.com,,http://ortacommunications.com/,,,Россия,Москва,PR / Communications,Член АКАР,http://ortacommunications.com/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,PR Partner,,,info@prpartner.ru,+7 (499) 647-47-17; +7(499)647-47-17,https://prpartner.ru/,,https://t.me/prpartner,Россия,Москва,Corporate Communications,Сайт агентства,https://prpartner.ru/contacts/,A,"PR/corporate communications: возможна потребность в презентациях для клиентов, спикеров, пресс-ивентов, форумов и коммуникационных стратегий. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,PR Partner,,,sales@prpartner.ru,+7 (499) 647-47-17; +7(499)647-47-17,https://prpartner.ru/,,https://t.me/prpartner,Россия,Москва,Corporate Communications,Сайт агентства,https://prpartner.ru/contacts/,A,"PR/corporate communications: возможна потребность в презентациях для клиентов, спикеров, пресс-ивентов, форумов и коммуникационных стратегий. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Progressiongroup,,,info@progressiongroup.ru,+7 495 748 59 60,https://progressiongroup.ru/,,https://t.me/progressiongroupp,Россия,Москва,PR / Communications,Член АКАР,https://progressiongroup.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Progressiongroup,,,tender@progressiongroup.ru,+7 495 748 59 60,https://progressiongroup.ru/,,https://t.me/progressiongroupp,Россия,Москва,PR / Communications,Член АКАР,https://progressiongroup.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Rragency,,,info@rragency.ru,+7 (999) 999 99 99; +7 (495) 234-02-14,https://rragency.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://rragency.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,SUPPORT AGENCY,,,info@we-support.ru,+7 995 591-85-20,https://we-support.ru/,,https://t.me/kostyasnegov; http://t.me/WE_SUPPORT_AGENCY; https://t.me/+1nA-GI3AkdQ2ZDMy,Россия,,Corporate Communications,Рейтинг Рунета communications,https://we-support.ru/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Sisters,,,go@sisters.team,+7 (351) 270-22-44,https://sisters.team/,,https://t.me/sistersagency,Россия,,Corporate Communications,Рейтинг Рунета communications,https://sisters.team/contacts/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Sisters,,,job@sisters.team,+7 (351) 270-22-44,https://sisters.team/,,https://t.me/sistersagency,Россия,,Corporate Communications,Рейтинг Рунета communications,https://sisters.team/contacts/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Skyalliance,,,reception@skyalliance.media,8 495 660-47-47,https://skyalliance.media/,,,Россия,Москва,PR / Communications,Член АКАР,https://skyalliance.media/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Slava,,,request@slava.co.uk,,https://slava.agency/,,https://t.me/slavaspeaking,Россия,Москва,PR / Communications,Член АКАР,https://slava.agency/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,So Bytie,,,info@so-bytie.ru,+7 (495) 741-36-01,https://so-bytie.ru/,,https://t.me/nast_tech,Россия,Москва,PR / Communications,Член АКАР,https://so-bytie.ru/contacts/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Step Media,,,hello@stepmedia.pro,+7 (499) 394-52-35,https://stepmedia.pro/,,,Россия,Москва,PR / Communications,Сайт агентства,https://stepmedia.pro/,A,PR/Digital communications: вероятна потребность в презентациях и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,T Agency,,,info@t-agency.ru,+7 812 740-20-67,https://t-agency.ru/?ysclid=md39tmylp8528988672,,,Россия,Москва,PR / Communications,Член АКАР,https://t-agency.ru/contact/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Telegue,,,sales@telegue.com,,https://telegue.com/,https://www.linkedin.com/in/nikita-petenko-05a01010a/,https://t.me/nikitapetenko; https://t.me/+GXNaHhkAgmhiYmYy; https://t.me/+llwoAnzcdCk4ZGM6,Россия,,Corporate Communications,Рейтинг Рунета communications,https://telegue.com/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Telller,,,nk@telller.ru,+7(926)650-44-01,https://telller.ru/,,https://t.me/telller_ru,Россия,Москва,PR / Communications,Сайт агентства,https://telller.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,The Market Group,,,info@themarketgroup.ru,+7 (495) 137-70-25; +7 (727) 345-01-95; +7 (495) 137 70 25,https://themarketgroup.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://themarketgroup.ru/,A,Коммуникационное агентство B2B/SMM/PR/Digital/MICE: релевантно для BAEV. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Tvin Imc,,,e.podgornaya@tvin-imc.ru,,https://tvin-imc.ru/,,https://t.me/Podgornaya_Elena; https://t.me/RONV_HR; https://t.me/VladislavKostryukovTVIN,Россия,Москва,PR / Communications,Член АКАР,https://tvin-imc.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Tvin Imc,,,job@tvin-imc.ru,,https://tvin-imc.ru/,,https://t.me/Podgornaya_Elena; https://t.me/RONV_HR; https://t.me/VladislavKostryukovTVIN,Россия,Москва,PR / Communications,Член АКАР,https://tvin-imc.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Tvin Imc,,,v.kostriukov@tvin-imc.ru,,https://tvin-imc.ru/,,https://t.me/Podgornaya_Elena; https://t.me/RONV_HR; https://t.me/VladislavKostryukovTVIN,Россия,Москва,PR / Communications,Член АКАР,https://tvin-imc.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Vinci PR,,,hello@vincipr.com,+79651209393; +79279255800,https://vincipr.com/,https://www.linkedin.com/company/vinciagency/,https://t.me/lapyk; https://t.me/prrussia,Россия,Москва,Corporate Communications,Сайт агентства,https://vincipr.com/,A,"PR/corporate communications: возможна потребность в презентациях для клиентов, спикеров, пресс-ивентов, форумов и коммуникационных стратегий. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
